institution_id,year,combination_id,disease_1,disease_2,disease_3,disease_4,patient_count
INST001,2016,C012,Depression,Generalized anxiety disorder,,,58
INST001,2016,C013,Osteoarthritis,Obesity,,,93
INST001,2016,C014,Rheumatoid arthritis,Osteoporosis,,,11
INST001,2016,C015,Pneumonia,Diabetes,,,72
INST001,2016,C016,COVID-19,Diabetes,,,21
INST001,2016,C017,COVID-19,Hypertension,,,21
INST001,2016,C018,COVID-19,Diabetes,Hypertension,,14
INST001,2016,C019,Tuberculosis,Diabetes,,,13
INST001,2016,C020,Urinary tract infection,Diabetes,,,44
INST001,2016,C021,Diabetes,Chronic kidney disease,Hypertension,,99
INST001,2016,C022,Ischemic heart disease,Diabetes,Hypertension,,99
INST001,2016,C023,Asthma,Obesity,,,57
INST001,2016,C024,COPD,Diabetes,,,49
INST001,2016,C025,Hyperlipidemia,Hypertension,,,81
INST001,2017,C001,Diabetes,Hypertension,,,194
INST001,2017,C002,Diabetes,Chronic kidney disease,,,59
INST001,2017,C003,Hypertension,Ischemic heart disease,,,51
INST001,2017,C004,Diabetes,Obesity,,,86
INST001,2017,C005,Diabetes,Hypertension,Obesity,,120
INST001,2017,C006,COPD,Hypertension,,,65
INST001,2017,C007,Asthma,Allergic/atopic disease,,,29
INST001,2017,C008,Heart failure,Chronic kidney disease,,,23
INST001,2017,C009,Diabetes,Hyperlipidemia,Hypertension,,84
INST001,2017,C010,Hypertension,Stroke,,,28
INST001,2017,C011,Chronic liver disease,Type 2 diabetes mellitus,,,14
INST001,2017,C012,Depression,Generalized anxiety disorder,,,43
INST001,2017,C013,Osteoarthritis,Obesity,,,32
INST001,2017,C014,Rheumatoid arthritis,Osteoporosis,,,13
INST001,2017,C015,Pneumonia,Diabetes,,,62
INST001,2017,C016,COVID-19,Diabetes,,,21
INST001,2017,C017,COVID-19,Hypertension,,,13
INST001,2017,C018,COVID-19,Diabetes,Hypertension,,24
INST001,2017,C019,Tuberculosis,Diabetes,,,31
INST001,2017,C020,Urinary tract infection,Diabetes,,,57
INST001,2017,C021,Diabetes,Chronic kidney disease,Hypertension,,67
INST001,2017,C022,Ischemic heart disease,Diabetes,Hypertension,,42
INST001,2017,C023,Asthma,Obesity,,,41
INST001,2017,C024,COPD,Diabetes,,,89
INST001,2017,C025,Hyperlipidemia,Hypertension,,,75
INST001,2018,C001,Diabetes,Hypertension,,,60
INST001,2018,C002,Diabetes,Chronic kidney disease,,,25
INST001,2018,C003,Hypertension,Ischemic heart disease,,,44
INST001,2018,C004,Diabetes,Obesity,,,83
INST001,2018,C005,Diabetes,Hypertension,Obesity,,72
INST001,2018,C006,COPD,Hypertension,,,44
INST001,2018,C007,Asthma,Allergic/atopic disease,,,34
INST001,2018,C008,Heart failure,Chronic kidney disease,,,17
INST001,2018,C009,Diabetes,Hyperlipidemia,Hypertension,,35
INST001,2018,C010,Hypertension,Stroke,,,16
INST001,2018,C011,Chronic liver disease,Type 2 diabetes mellitus,,,24
INST001,2018,C012,Depression,Generalized anxiety disorder,,,86
INST001,2018,C013,Osteoarthritis,Obesity,,,96
INST001,2018,C014,Rheumatoid arthritis,Osteoporosis,,,17
INST001,2018,C015,Pneumonia,Diabetes,,,85
INST001,2018,C016,COVID-19,Diabetes,,,11
INST001,2018,C017,COVID-19,Hypertension,,,8
INST001,2018,C018,COVID-19,Diabetes,Hypertension,,24
INST001,2018,C019,Tuberculosis,Diabetes,,,35
INST001,2018,C020,Urinary tract infection,Diabetes,,,32
INST001,2018,C021,Diabetes,Chronic kidney disease,Hypertension,,62
INST001,2018,C022,Ischemic heart disease,Diabetes,Hypertension,,66
INST001,2018,C023,Asthma,Obesity,,,75
INST001,2018,C024,COPD,Diabetes,,,23
INST001,2018,C025,Hyperlipidemia,Hypertension,,,106
INST001,2019,C001,Diabetes,Hypertension,,,79
INST001,2019,C002,Diabetes,Chronic kidney disease,,,41
INST001,2019,C003,Hypertension,Ischemic heart disease,,,95
INST001,2019,C004,Diabetes,Obesity,,,113
INST001,2019,C005,Diabetes,Hypertension,Obesity,,143
INST001,2019,C006,COPD,Hypertension,,,84
INST001,2019,C007,Asthma,Allergic/atopic disease,,,47
INST001,2019,C008,Heart failure,Chronic kidney disease,,,66
INST001,2019,C009,Diabetes,Hyperlipidemia,Hypertension,,142
INST001,2019,C010,Hypertension,Stroke,,,12
INST001,2019,C011,Chronic liver disease,Type 2 diabetes mellitus,,,25
INST001,2019,C012,Depression,Generalized anxiety disorder,,,79
INST001,2019,C013,Osteoarthritis,Obesity,,,96
INST001,2019,C014,Rheumatoid arthritis,Osteoporosis,,,16
INST001,2019,C015,Pneumonia,Diabetes,,,66
INST001,2019,C016,COVID-19,Diabetes,,,17
INST001,2019,C017,COVID-19,Hypertension,,,21
INST001,2019,C018,COVID-19,Diabetes,Hypertension,,30
INST001,2019,C019,Tuberculosis,Diabetes,,,14
INST001,2019,C020,Urinary tract infection,Diabetes,,,24
INST001,2019,C021,Diabetes,Chronic kidney disease,Hypertension,,64
INST001,2019,C022,Ischemic heart disease,Diabetes,Hypertension,,47
INST001,2019,C023,Asthma,Obesity,,,61
INST001,2019,C024,COPD,Diabetes,,,73
INST001,2019,C025,Hyperlipidemia,Hypertension,,,82
INST001,2020,C001,Diabetes,Hypertension,,,56
INST001,2020,C002,Diabetes,Chronic kidney disease,,,89
INST001,2020,C003,Hypertension,Ischemic heart disease,,,123
INST001,2020,C004,Diabetes,Obesity,,,138
INST001,2020,C005,Diabetes,Hypertension,Obesity,,150
INST001,2020,C006,COPD,Hypertension,,,67
INST001,2020,C007,Asthma,Allergic/atopic disease,,,18
INST001,2020,C008,Heart failure,Chronic kidney disease,,,24
INST001,2020,C009,Diabetes,Hyperlipidemia,Hypertension,,76
INST001,2020,C010,Hypertension,Stroke,,,24
INST001,2020,C011,Chronic liver disease,Type 2 diabetes mellitus,,,18
INST001,2020,C012,Depression,Generalized anxiety disorder,,,53
INST001,2020,C013,Osteoarthritis,Obesity,,,75
INST001,2020,C014,Rheumatoid arthritis,Osteoporosis,,,29
INST001,2020,C015,Pneumonia,Diabetes,,,68
INST001,2020,C016,COVID-19,Diabetes,,,110
INST001,2020,C017,COVID-19,Hypertension,,,132
INST001,2020,C018,COVID-19,Diabetes,Hypertension,,88
INST001,2020,C019,Tuberculosis,Diabetes,,,18
INST001,2020,C020,Urinary tract infection,Diabetes,,,74
INST001,2020,C021,Diabetes,Chronic kidney disease,Hypertension,,83
INST001,2020,C022,Ischemic heart disease,Diabetes,Hypertension,,87
INST001,2020,C023,Asthma,Obesity,,,56
INST001,2020,C024,COPD,Diabetes,,,42
INST001,2020,C025,Hyperlipidemia,Hypertension,,,115
INST001,2021,C001,Diabetes,Hypertension,,,165
INST001,2021,C002,Diabetes,Chronic kidney disease,,,36
INST001,2021,C003,Hypertension,Ischemic heart disease,,,65
INST001,2021,C004,Diabetes,Obesity,,,79
INST001,2021,C005,Diabetes,Hypertension,Obesity,,164
INST001,2021,C006,COPD,Hypertension,,,40
INST001,2021,C007,Asthma,Allergic/atopic disease,,,22
INST001,2021,C008,Heart failure,Chronic kidney disease,,,53
INST001,2021,C009,Diabetes,Hyperlipidemia,Hypertension,,113
INST001,2021,C010,Hypertension,Stroke,,,43
INST001,2021,C011,Chronic liver disease,Type 2 diabetes mellitus,,,33
INST001,2021,C012,Depression,Generalized anxiety disorder,,,70
INST001,2021,C013,Osteoarthritis,Obesity,,,53
INST001,2021,C014,Rheumatoid arthritis,Osteoporosis,,,16
INST001,2021,C015,Pneumonia,Diabetes,,,89
INST001,2021,C016,COVID-19,Diabetes,,,127
INST001,2021,C017,COVID-19,Hypertension,,,208
INST001,2021,C018,COVID-19,Diabetes,Hypertension,,146
INST001,2021,C019,Tuberculosis,Diabetes,,,24
INST001,2021,C020,Urinary tract infection,Diabetes,,,70
INST001,2021,C021,Diabetes,Chronic kidney disease,Hypertension,,71
INST001,2021,C022,Ischemic heart disease,Diabetes,Hypertension,,85
INST001,2021,C023,Asthma,Obesity,,,85
INST001,2021,C024,COPD,Diabetes,,,36
INST001,2021,C025,Hyperlipidemia,Hypertension,,,91
INST001,2022,C001,Diabetes,Hypertension,,,88
INST001,2022,C002,Diabetes,Chronic kidney disease,,,38
INST001,2022,C003,Hypertension,Ischemic heart disease,,,82
INST001,2022,C004,Diabetes,Obesity,,,76
INST001,2022,C005,Diabetes,Hypertension,Obesity,,49
INST001,2022,C006,COPD,Hypertension,,,66
INST001,2022,C007,Asthma,Allergic/atopic disease,,,30
INST001,2022,C008,Heart failure,Chronic kidney disease,,,48
INST001,2022,C009,Diabetes,Hyperlipidemia,Hypertension,,123
INST001,2022,C010,Hypertension,Stroke,,,32
INST001,2022,C011,Chronic liver disease,Type 2 diabetes mellitus,,,15
INST001,2022,C012,Depression,Generalized anxiety disorder,,,33
INST001,2022,C013,Osteoarthritis,Obesity,,,32
INST001,2022,C014,Rheumatoid arthritis,Osteoporosis,,,19
INST001,2022,C015,Pneumonia,Diabetes,,,55
INST001,2022,C016,COVID-19,Diabetes,,,110
INST001,2022,C017,COVID-19,Hypertension,,,122
INST001,2022,C018,COVID-19,Diabetes,Hypertension,,182
INST001,2022,C019,Tuberculosis,Diabetes,,,31
INST001,2022,C020,Urinary tract infection,Diabetes,,,39
INST001,2022,C021,Diabetes,Chronic kidney disease,Hypertension,,67
INST001,2022,C022,Ischemic heart disease,Diabetes,Hypertension,,109
INST001,2022,C023,Asthma,Obesity,,,103
INST001,2022,C024,COPD,Diabetes,,,62
INST001,2022,C025,Hyperlipidemia,Hypertension,,,118
INST001,2023,C001,Diabetes,Hypertension,,,206
INST001,2023,C002,Diabetes,Chronic kidney disease,,,28
INST001,2023,C003,Hypertension,Ischemic heart disease,,,66
INST001,2023,C004,Diabetes,Obesity,,,120
INST001,2023,C005,Diabetes,Hypertension,Obesity,,116
INST001,2023,C006,COPD,Hypertension,,,38
INST001,2023,C007,Asthma,Allergic/atopic disease,,,27
INST001,2023,C008,Heart failure,Chronic kidney disease,,,39
INST001,2023,C009,Diabetes,Hyperlipidemia,Hypertension,,106
INST001,2023,C010,Hypertension,Stroke,,,21
INST001,2023,C011,Chronic liver disease,Type 2 diabetes mellitus,,,30
INST001,2023,C012,Depression,Generalized anxiety disorder,,,68
INST001,2023,C013,Osteoarthritis,Obesity,,,51
INST001,2023,C014,Rheumatoid arthritis,Osteoporosis,,,19
INST001,2023,C015,Pneumonia,Diabetes,,,52
INST001,2023,C016,COVID-19,Diabetes,,,56
INST001,2023,C017,COVID-19,Hypertension,,,42
INST001,2023,C018,COVID-19,Diabetes,Hypertension,,44
INST001,2023,C019,Tuberculosis,Diabetes,,,36
INST001,2023,C020,Urinary tract infection,Diabetes,,,89
INST001,2023,C021,Diabetes,Chronic kidney disease,Hypertension,,77
INST001,2023,C022,Ischemic heart disease,Diabetes,Hypertension,,81
INST001,2023,C023,Asthma,Obesity,,,80
INST001,2023,C024,COPD,Diabetes,,,34
INST001,2023,C025,Hyperlipidemia,Hypertension,,,60
INST001,2024,C001,Diabetes,Hypertension,,,148
INST001,2024,C002,Diabetes,Chronic kidney disease,,,81
INST001,2024,C003,Hypertension,Ischemic heart disease,,,49
INST001,2024,C004,Diabetes,Obesity,,,95
INST001,2024,C005,Diabetes,Hypertension,Obesity,,106
INST001,2024,C006,COPD,Hypertension,,,39
INST001,2024,C007,Asthma,Allergic/atopic disease,,,33
INST001,2024,C008,Heart failure,Chronic kidney disease,,,24
INST001,2024,C009,Diabetes,Hyperlipidemia,Hypertension,,153
INST001,2024,C010,Hypertension,Stroke,,,12
INST001,2024,C011,Chronic liver disease,Type 2 diabetes mellitus,,,45
INST001,2024,C012,Depression,Generalized anxiety disorder,,,100
INST001,2024,C013,Osteoarthritis,Obesity,,,57
INST001,2024,C014,Rheumatoid arthritis,Osteoporosis,,,18
INST001,2024,C015,Pneumonia,Diabetes,,,105
INST001,2024,C016,COVID-19,Diabetes,,,30
INST001,2024,C017,COVID-19,Hypertension,,,44
INST001,2024,C018,COVID-19,Diabetes,Hypertension,,35
INST001,2024,C019,Tuberculosis,Diabetes,,,17
INST001,2024,C020,Urinary tract infection,Diabetes,,,29
INST001,2024,C021,Diabetes,Chronic kidney disease,Hypertension,,87
INST001,2024,C022,Ischemic heart disease,Diabetes,Hypertension,,105
INST001,2024,C023,Asthma,Obesity,,,36
INST001,2024,C024,COPD,Diabetes,,,69
INST001,2024,C025,Hyperlipidemia,Hypertension,,,84
INST001,2025,C001,Diabetes,Hypertension,,,143
INST001,2025,C002,Diabetes,Chronic kidney disease,,,72
INST001,2025,C003,Hypertension,Ischemic heart disease,,,100
INST001,2025,C004,Diabetes,Obesity,,,125
INST001,2025,C005,Diabetes,Hypertension,Obesity,,136
INST001,2025,C006,COPD,Hypertension,,,30
INST001,2025,C007,Asthma,Allergic/atopic disease,,,28
INST001,2025,C008,Heart failure,Chronic kidney disease,,,49
INST001,2025,C009,Diabetes,Hyperlipidemia,Hypertension,,72
INST001,2025,C010,Hypertension,Stroke,,,16
INST001,2025,C011,Chronic liver disease,Type 2 diabetes mellitus,,,37
INST001,2025,C012,Depression,Generalized anxiety disorder,,,55
INST001,2025,C013,Osteoarthritis,Obesity,,,116
INST001,2025,C014,Rheumatoid arthritis,Osteoporosis,,,15
INST001,2025,C015,Pneumonia,Diabetes,,,38
INST001,2025,C016,COVID-19,Diabetes,,,47
INST001,2025,C017,COVID-19,Hypertension,,,22
INST001,2025,C018,COVID-19,Diabetes,Hypertension,,54
INST001,2025,C019,Tuberculosis,Diabetes,,,18
INST001,2025,C020,Urinary tract infection,Diabetes,,,47
INST001,2025,C021,Diabetes,Chronic kidney disease,Hypertension,,34
INST001,2025,C022,Ischemic heart disease,Diabetes,Hypertension,,135
INST001,2025,C023,Asthma,Obesity,,,49
INST001,2025,C024,COPD,Diabetes,,,31
INST001,2025,C025,Hyperlipidemia,Hypertension,,,129
INST001,2026,C001,Diabetes,Hypertension,,,83
INST001,2026,C002,Diabetes,Chronic kidney disease,,,37
INST001,2026,C003,Hypertension,Ischemic heart disease,,,97
INST001,2026,C004,Diabetes,Obesity,,,66
INST001,2026,C005,Diabetes,Hypertension,Obesity,,143
INST001,2026,C006,COPD,Hypertension,,,53
INST001,2026,C007,Asthma,Allergic/atopic disease,,,19
INST001,2026,C008,Heart failure,Chronic kidney disease,,,21
INST001,2026,C009,Diabetes,Hyperlipidemia,Hypertension,,100
INST001,2026,C010,Hypertension,Stroke,,,20
INST001,2026,C011,Chronic liver disease,Type 2 diabetes mellitus,,,22
INST001,2026,C012,Depression,Generalized anxiety disorder,,,95
INST001,2026,C013,Osteoarthritis,Obesity,,,125
INST001,2026,C014,Rheumatoid arthritis,Osteoporosis,,,14
INST001,2026,C015,Pneumonia,Diabetes,,,67
INST001,2026,C016,COVID-19,Diabetes,,,47
INST001,2026,C017,COVID-19,Hypertension,,,62
INST001,2026,C018,COVID-19,Diabetes,Hypertension,,49
INST001,2026,C019,Tuberculosis,Diabetes,,,25
INST001,2026,C020,Urinary tract infection,Diabetes,,,88
INST001,2026,C021,Diabetes,Chronic kidney disease,Hypertension,,79
INST001,2026,C022,Ischemic heart disease,Diabetes,Hypertension,,95
INST001,2026,C023,Asthma,Obesity,,,105
INST001,2026,C024,COPD,Diabetes,,,45
INST001,2026,C025,Hyperlipidemia,Hypertension,,,44
INST002,2015,C001,Diabetes,Hypertension,,,71
INST002,2015,C002,Diabetes,Chronic kidney disease,,,23
INST002,2015,C003,Hypertension,Ischemic heart disease,,,54
INST002,2015,C004,Diabetes,Obesity,,,130
INST002,2015,C005,Diabetes,Hypertension,Obesity,,100
INST002,2015,C006,COPD,Hypertension,,,56
INST002,2015,C007,Asthma,Allergic/atopic disease,,,39
INST002,2015,C008,Heart failure,Chronic kidney disease,,,35
INST002,2015,C009,Diabetes,Hyperlipidemia,Hypertension,,88
INST002,2015,C010,Hypertension,Stroke,,,26
INST002,2015,C011,Chronic liver disease,Type 2 diabetes mellitus,,,23
INST002,2015,C012,Depression,Generalized anxiety disorder,,,67
INST002,2015,C013,Osteoarthritis,Obesity,,,51
INST002,2015,C014,Rheumatoid arthritis,Osteoporosis,,,23
INST002,2015,C015,Pneumonia,Diabetes,,,71
INST002,2015,C016,COVID-19,Diabetes,,,10
INST002,2015,C017,COVID-19,Hypertension,,,15
INST002,2015,C018,COVID-19,Diabetes,Hypertension,,18
INST002,2015,C019,Tuberculosis,Diabetes,,,14
INST002,2015,C020,Urinary tract infection,Diabetes,,,34
INST002,2015,C021,Diabetes,Chronic kidney disease,Hypertension,,65
INST002,2015,C022,Ischemic heart disease,Diabetes,Hypertension,,76
INST002,2015,C023,Asthma,Obesity,,,49
INST002,2015,C024,COPD,Diabetes,,,56
INST002,2015,C025,Hyperlipidemia,Hypertension,,,53
INST002,2016,C001,Diabetes,Hypertension,,,103
INST002,2016,C002,Diabetes,Chronic kidney disease,,,42
INST002,2016,C003,Hypertension,Ischemic heart disease,,,99
INST002,2016,C004,Diabetes,Obesity,,,51
INST002,2016,C005,Diabetes,Hypertension,Obesity,,101
INST002,2016,C006,COPD,Hypertension,,,38
INST002,2016,C007,Asthma,Allergic/atopic disease,,,26
INST002,2016,C008,Heart failure,Chronic kidney disease,,,26
INST002,2016,C009,Diabetes,Hyperlipidemia,Hypertension,,118
INST002,2016,C010,Hypertension,Stroke,,,27
INST002,2016,C011,Chronic liver disease,Type 2 diabetes mellitus,,,39
INST002,2016,C012,Depression,Generalized anxiety disorder,,,31
INST002,2016,C013,Osteoarthritis,Obesity,,,60
INST002,2016,C014,Rheumatoid arthritis,Osteoporosis,,,35
INST002,2016,C015,Pneumonia,Diabetes,,,87
INST002,2016,C016,COVID-19,Diabetes,,,30
INST002,2016,C017,COVID-19,Hypertension,,,10
INST002,2016,C018,COVID-19,Diabetes,Hypertension,,11
INST002,2016,C019,Tuberculosis,Diabetes,,,29
INST002,2016,C020,Urinary tract infection,Diabetes,,,50
INST002,2016,C021,Diabetes,Chronic kidney disease,Hypertension,,46
INST002,2016,C022,Ischemic heart disease,Diabetes,Hypertension,,49
INST002,2016,C023,Asthma,Obesity,,,57
INST002,2016,C024,COPD,Diabetes,,,48
INST002,2016,C025,Hyperlipidemia,Hypertension,,,43
INST002,2017,C001,Diabetes,Hypertension,,,121
INST002,2017,C002,Diabetes,Chronic kidney disease,,,79
INST002,2017,C003,Hypertension,Ischemic heart disease,,,52
INST002,2017,C004,Diabetes,Obesity,,,123
INST002,2017,C005,Diabetes,Hypertension,Obesity,,134
INST002,2017,C006,COPD,Hypertension,,,44
INST002,2017,C007,Asthma,Allergic/atopic disease,,,11
INST002,2017,C008,Heart failure,Chronic kidney disease,,,16
INST002,2017,C009,Diabetes,Hyperlipidemia,Hypertension,,117
INST002,2017,C010,Hypertension,Stroke,,,18
INST002,2017,C011,Chronic liver disease,Type 2 diabetes mellitus,,,41
INST002,2017,C012,Depression,Generalized anxiety disorder,,,56
INST002,2017,C013,Osteoarthritis,Obesity,,,32
INST002,2017,C014,Rheumatoid arthritis,Osteoporosis,,,19
INST002,2017,C015,Pneumonia,Diabetes,,,51
INST002,2017,C016,COVID-19,Diabetes,,,25
INST002,2017,C017,COVID-19,Hypertension,,,10
INST002,2017,C018,COVID-19,Diabetes,Hypertension,,23
INST002,2017,C019,Tuberculosis,Diabetes,,,25
INST002,2017,C020,Urinary tract infection,Diabetes,,,29
INST002,2017,C021,Diabetes,Chronic kidney disease,Hypertension,,29
INST002,2017,C022,Ischemic heart disease,Diabetes,Hypertension,,33
INST002,2017,C023,Asthma,Obesity,,,53
INST002,2017,C024,COPD,Diabetes,,,52
INST002,2017,C025,Hyperlipidemia,Hypertension,,,71
INST002,2018,C001,Diabetes,Hypertension,,,66
INST002,2018,C002,Diabetes,Chronic kidney disease,,,59
INST002,2018,C003,Hypertension,Ischemic heart disease,,,86
INST002,2018,C004,Diabetes,Obesity,,,54
INST002,2018,C005,Diabetes,Hypertension,Obesity,,73
INST002,2018,C006,COPD,Hypertension,,,32
INST002,2018,C007,Asthma,Allergic/atopic disease,,,11
INST002,2018,C008,Heart failure,Chronic kidney disease,,,38
INST002,2018,C009,Diabetes,Hyperlipidemia,Hypertension,,59
INST002,2018,C010,Hypertension,Stroke,,,23
INST002,2018,C011,Chronic liver disease,Type 2 diabetes mellitus,,,50
INST002,2018,C012,Depression,Generalized anxiety disorder,,,87
INST002,2018,C013,Osteoarthritis,Obesity,,,67
INST002,2018,C014,Rheumatoid arthritis,Osteoporosis,,,29
INST002,2018,C015,Pneumonia,Diabetes,,,105
INST002,2018,C016,COVID-19,Diabetes,,,15
INST002,2018,C017,COVID-19,Hypertension,,,14
INST002,2018,C018,COVID-19,Diabetes,Hypertension,,9
INST002,2018,C019,Tuberculosis,Diabetes,,,10
INST002,2018,C020,Urinary tract infection,Diabetes,,,73
INST002,2018,C021,Diabetes,Chronic kidney disease,Hypertension,,59
INST002,2018,C022,Ischemic heart disease,Diabetes,Hypertension,,106
INST002,2018,C023,Asthma,Obesity,,,45
INST002,2018,C024,COPD,Diabetes,,,33
INST002,2018,C025,Hyperlipidemia,Hypertension,,,47
INST002,2019,C001,Diabetes,Hypertension,,,118
INST002,2019,C002,Diabetes,Chronic kidney disease,,,69
INST002,2019,C003,Hypertension,Ischemic heart disease,,,55
INST002,2019,C004,Diabetes,Obesity,,,63
INST002,2019,C005,Diabetes,Hypertension,Obesity,,114
INST002,2019,C006,COPD,Hypertension,,,39
INST002,2019,C007,Asthma,Allergic/atopic disease,,,31
INST002,2019,C008,Heart failure,Chronic kidney disease,,,51
INST002,2019,C009,Diabetes,Hyperlipidemia,Hypertension,,108
INST002,2019,C010,Hypertension,Stroke,,,16
INST002,2019,C011,Chronic liver disease,Type 2 diabetes mellitus,,,21
INST002,2019,C012,Depression,Generalized anxiety disorder,,,48
INST002,2019,C013,Osteoarthritis,Obesity,,,37
INST002,2019,C014,Rheumatoid arthritis,Osteoporosis,,,22
INST002,2019,C015,Pneumonia,Diabetes,,,78
INST002,2019,C016,COVID-19,Diabetes,,,14
INST002,2019,C017,COVID-19,Hypertension,,,15
INST002,2019,C018,COVID-19,Diabetes,Hypertension,,23
INST002,2019,C019,Tuberculosis,Diabetes,,,35
INST002,2019,C020,Urinary tract infection,Diabetes,,,36
INST002,2019,C021,Diabetes,Chronic kidney disease,Hypertension,,31
INST002,2019,C022,Ischemic heart disease,Diabetes,Hypertension,,56
INST002,2019,C023,Asthma,Obesity,,,45
INST002,2019,C024,COPD,Diabetes,,,50
INST002,2019,C025,Hyperlipidemia,Hypertension,,,63
INST002,2020,C001,Diabetes,Hypertension,,,113
INST002,2020,C002,Diabetes,Chronic kidney disease,,,62
INST002,2020,C003,Hypertension,Ischemic heart disease,,,32
INST002,2020,C004,Diabetes,Obesity,,,127
INST002,2020,C005,Diabetes,Hypertension,Obesity,,110
INST002,2020,C006,COPD,Hypertension,,,42
INST002,2020,C007,Asthma,Allergic/atopic disease,,,14
INST002,2020,C008,Heart failure,Chronic kidney disease,,,21
INST002,2020,C009,Diabetes,Hyperlipidemia,Hypertension,,73
INST002,2020,C010,Hypertension,Stroke,,,24
INST002,2020,C011,Chronic liver disease,Type 2 diabetes mellitus,,,48
INST002,2020,C012,Depression,Generalized anxiety disorder,,,32
INST002,2020,C013,Osteoarthritis,Obesity,,,71
INST002,2020,C014,Rheumatoid arthritis,Osteoporosis,,,38
INST002,2020,C015,Pneumonia,Diabetes,,,91
INST002,2020,C016,COVID-19,Diabetes,,,82
INST002,2020,C017,COVID-19,Hypertension,,,227
INST002,2020,C018,COVID-19,Diabetes,Hypertension,,142
INST002,2020,C019,Tuberculosis,Diabetes,,,28
INST002,2020,C020,Urinary tract infection,Diabetes,,,71
INST002,2020,C021,Diabetes,Chronic kidney disease,Hypertension,,78
INST002,2020,C022,Ischemic heart disease,Diabetes,Hypertension,,93
INST002,2020,C023,Asthma,Obesity,,,86
INST002,2020,C024,COPD,Diabetes,,,40
INST002,2020,C025,Hyperlipidemia,Hypertension,,,108
INST002,2021,C001,Diabetes,Hypertension,,,176
INST002,2021,C002,Diabetes,Chronic kidney disease,,,50
INST002,2021,C003,Hypertension,Ischemic heart disease,,,117
INST002,2021,C004,Diabetes,Obesity,,,90
INST002,2021,C005,Diabetes,Hypertension,Obesity,,75
INST002,2021,C006,COPD,Hypertension,,,53
INST002,2021,C007,Asthma,Allergic/atopic disease,,,31
INST002,2021,C008,Heart failure,Chronic kidney disease,,,35
INST002,2021,C009,Diabetes,Hyperlipidemia,Hypertension,,114
INST002,2021,C010,Hypertension,Stroke,,,13
INST002,2021,C011,Chronic liver disease,Type 2 diabetes mellitus,,,33
INST002,2021,C012,Depression,Generalized anxiety disorder,,,88
INST002,2021,C013,Osteoarthritis,Obesity,,,54
INST002,2021,C014,Rheumatoid arthritis,Osteoporosis,,,27
INST002,2021,C015,Pneumonia,Diabetes,,,112
INST002,2021,C016,COVID-19,Diabetes,,,98
INST002,2021,C017,COVID-19,Hypertension,,,217
INST002,2021,C018,COVID-19,Diabetes,Hypertension,,159
INST002,2021,C019,Tuberculosis,Diabetes,,,28
INST002,2021,C020,Urinary tract infection,Diabetes,,,34
INST002,2021,C021,Diabetes,Chronic kidney disease,Hypertension,,54
INST002,2021,C022,Ischemic heart disease,Diabetes,Hypertension,,65
INST002,2021,C023,Asthma,Obesity,,,36
INST002,2021,C024,COPD,Diabetes,,,32
INST002,2021,C025,Hyperlipidemia,Hypertension,,,49
INST002,2022,C001,Diabetes,Hypertension,,,192
INST002,2022,C002,Diabetes,Chronic kidney disease,,,60
